date,Label,Manual_Label,수정여부,Headline_and_Subtitle,Headline_KO
2018-12-11,0,2,,"American Eagle Outfitters beats by $0.01, misses on revenue",American Eagle Outfitters는 $0.01 앞섰고 수익은 감소했습니다.
2018-12-10,0,0,,"U.S. junk bonds decline amid trade uncertainty, oil rebound","미국 정크본드, 무역 불확실성과 원유 반등 속에 하락"
2016-08-24,0,0,,Gold miners sink as metal settles below 50-day moving average,금 채굴자들은 금속 가격이 50일 이동 평균 아래로 떨어지면서 하락했습니다.
2018-03-06,0,2,,"Target's (TGT) Q4 Earnings Miss, Sales Beat Estimates",Target(TGT)의 4분기 실적이 부진하고 매출이 예상치를 상회했습니다.
2019-07-29,0,1,,"No 'Slow Lane' For Widows & Orphans, As 'Moderate' Income Factory Returns Over 20% YTD",'보통' 소득 공장이 YTD 20% 이상 수익을 올리므로 과부와 고아를 위한 '느린 차선' 없음
2012-08-02,0,3,,"Acacia Research Corp. (ACTG) Executive Chairman Robert L Ii Harris sells 4,167 Shares","Acacia Research Corp.(ACTG) 회장 Robert L Ii Harris가 4,167주를 매각합니다."
2016-05-03,0,2,,"Gold ETFs Fall, But Bonds Rise, As U.S., Foreign Stock Indexes Drop",금 ETF는 하락하지만 채권은 상승하고 미국의 해외 주가 지수는 하락합니다.
2017-05-31,0,0,,Stocks Close In The Red; Banks Crumble On Slow JPMorgan Trade Revenue,주식은 적자로 마감되었습니다. JPMorgan 무역 수익 부진으로 은행 붕괴
2014-07-25,0,3,,"Three Tax Inversion Stocks That Moved to Sunny (and Low Tax) Bermuda: TWGP, AGII & LAZ","Sunny(및 낮은 세금) 버뮤다로 이전된 세 가지 세금 반전 주식: TWGP, AGII 및 LAZ"
2019-08-15,0,3,,Advanced Emissions Solutions Announces Additional Refined Coal Facility Closure with ...,"Advanced Emissions Solutions, 추가 정제 석탄 시설 폐쇄 발표"
2018-03-03,0,3,,"Tariffs, Wages And Target In The Bull's-eye","과녁의 관세, 임금 및 목표"
2013-12-11,0,0,,Why Pfizer's Expiring Viagra Patent Hurts Lilly Most,화이자의 비아그라 특허 만료가 릴리에게 가장 큰 타격을 주는 이유
2015-03-31,0,0,,"U.S. Steel to operate at loss this year, J.P. Morgan says in short call","JP모건 ""US Steel, 올해 적자 영업할 것"""
2019-11-06,0,0,,"AcelRx Pharmaceuticals (ACRX) Reports Q3 Loss, Misses Revenue Estimates","AcelRx Pharmaceuticals(ACRX), 3분기 손실 보고, 수익 추정치 누락"
2018-08-29,0,2,,"Stocks Mixed; This Hot IPO Stock Stumbles, But PayPal Breaks Out",주식 혼합; 이 뜨거운 IPO 주식은 비틀거리지만 PayPal은 돌파합니다
2014-06-16,0,0,,GNC Holdings (GNC) Falls: Stock Goes Down 5.5% - Tale of the Tape,GNC 홀딩스(GNC) 하락: 주가 5.5% 하락 - 테이프 이야기
2018-11-02,0,3,,Silver Needs To Make A Move - A Halloween Head Fake Inspired By The Dollar,은의 움직임이 필요하다 - 달러에서 영감을 얻은 할로윈 머리 가짜
2016-09-22,0,0,,Bond ETFs see rare bout of outflows,채권 ETF에서 자금 유출이 거의 발생하지 않음
2020-02-14,0,3,,"Long Pond Capital, LP Buys Ventas Inc, Sabra Health Care REIT Inc, Lowe's Inc, Sells Hilton ...","Long Pond Capital, LP, Ventas Inc 매입, Sabra Health Care REIT Inc, Lowe's Inc, Hilton 매각..."
2019-11-06,0,2,,"AcelRx Pharmaceuticals EPS beats by $0.06, misses on revenue",AcelRx Pharmaceuticals EPS는 0.06달러 상회하고 수익은 감소했습니다.
2015-09-15,0,0,,Lodging names socked by Pebblebrook Hotel warning,페블브룩 호텔(Pebblebrook Hotel) 경고에 숙박 시설 이름이 포함됨
2019-05-09,0,3,,"GV Capital Management Buys Aaron's Inc, Invesco S&P 5…… Low Volatility, iShares MSCI ...","GV Capital Management, Aaron's Inc, Invesco S&P 5… 저변동성, iShares MSCI 인수…"
2019-06-03,0,0,,AEterna Zentaris: A Slow Bleed After Vexing Q1 Earnings,AEterna Zentaris: 1분기 수익을 괴롭힌 후 느린 출혈
2014-01-28,0,0,,Weakness Seen in ACCO Brands (ACCO): Stock Tanks 8.2% - Tale of the Tape,ACCO 브랜드(ACCO)에서 볼 수 있는 약점: 스톡 탱크 8.2% - Tale of the Tape
2015-02-09,0,3,,Three Stocks Below Peter Lynch Earning Line,피터 린치 수익선 아래 3개 주식
2019-02-14,0,2,,"Agios Pharmaceuticals (AGIO) Reports Q4 Loss, Tops Revenue Estimates","Agios Pharmaceuticals(AGIO), 4분기 손실 보고, 수익 추정치 최고 기록"
2013-05-25,0,3,,My 3 Favorite High-Yields With Low Debt And Payout Ratios,내가 선호하는 3가지 부채 및 지급 비율이 높은 고수익 상품
2015-10-14,0,0,,U.S. Raw Steel Production Slips on Lower Utilization,미국의 철강 생산이 활용도 감소로 인해 하락
2016-10-20,0,2,,"Major ETFs Fall, But Biotech And Pharma Stocks Defy General Malaise",주요 ETF는 하락했지만 생명공학 및 제약 주식은 일반적인 불안을 무시합니다
2015-06-05,0,1,,Larry Fink dismisses bond ETF fears,래리 핑크(Larry Fink)는 채권 ETF에 대한 우려를 일축했습니다.
2019-10-02,0,2,,"ADP Posts 135K New Jobs, Slowing Across the Board","ADP, 135,000개의 신규 일자리 게시, 전반적으로 둔화"
2016-12-14,0,0,,Gold And Mining ETFs Slump After Fed Raises Rates For First Time In 2016,2016년 연준이 처음으로 금리를 인상한 후 금 및 광산 ETF가 폭락했습니다.
2015-09-14,0,2,,"Stocks Quietly Lower As Apple Tops Dow, Tyler Tech Breaks Out",Apple이 Dow를 상회하면서 주식은 조용히 하락하고 Tyler Tech는 돌파합니다.
2018-10-24,0,0,,"Aspen Insurance Holdings misses by $0.17, misses on net earned premiums","Aspen Insurance Holdings는 0.17달러 손실, 순 보험료 손실"
2019-05-20,0,1,,Adamis: Cuts Op-Ex And Prepares For 'Zimhi' Approval,Adamis: 운영 비용 절감 및 'Zimhi' 승인 준비
2018-05-05,0,3,,ACETO SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF ...,ACETO 주주 경고: 클레임 파일러는 투자자들에게 다음과 같은 손실이 있음을 상기시킵니다.
2018-10-17,0,0,,US Market Indexes Fall After Big Rally,미국 시장 지수는 큰 반등 이후 하락
2016-12-09,0,0,,Aflac cut to Underperform at RBC Capital,Aflac은 RBC Capital에서 Underperform으로 하락
2015-07-20,0,0,,"It's a sea of red for gold mining stocks as gold drops to $1,100","금 가격이 1,100달러까지 떨어지면서 금 채굴 주식에는 붉은 바다가 됐습니다."
2018-11-26,0,1,,Futures Rebound After Black Friday Losses (Wall Street Breakfast Podcast),블랙 프라이데이 손실 후 선물 반등(월스트리트 조식 팟캐스트)
2015-01-02,0,0,,IBD 50 Tone Darkens; More Leaders Below 10-Week Line,IBD 50 톤이 어두워짐; 10주 선 아래에 더 많은 리더가 있음
2019-11-05,0,0,,Acadia Healthcare (ACHC) Q3 Earnings and Revenues Miss Estimates,Acadia Healthcare(ACHC) 3분기 수익 및 수익 예상치 미스
2015-01-09,0,0,,Astoria Financial and Webster Financial slump after downgrades,Astoria Financial 및 Webster Financial은 다운그레이드 이후 부진
2016-11-14,0,3,,"The Good, The Bad, And The Beautiful From The Perspective Of A Preferred Investor","우선 투자자의 관점에서 본 좋은 것, 나쁜 것, 아름다운 것"
2015-05-30,0,3,,The 5 Best Low PE Companies For Defensive Investors,방어적인 투자자를 위한 최고의 낮은 PE 회사 5개
2015-09-01,0,3,,Why The Drop In Stocks Feels So Painful,주가 하락이 그토록 고통스럽게 느껴지는 이유
2018-05-31,0,0,,Paccar -3% as Goldman downgrades amid dim view of trucking stocks,트럭 운송 주식에 대한 어두운 전망 속에서 Goldman이 등급을 하향 조정함에 따라 Paccar -3%
2016-01-15,0,0,,S&P 500 Takes Out August Low; Apple Hit By New iPhone Worries,"S&P 500, 8월 저점 돌파; 새로운 아이폰에 대한 우려로 애플이 타격을 입다"
2017-02-28,0,0,,Broker-Dealer ETF Books A Hefty Loss Amid Schwab-Fidelity Shootout,"브로커-딜러 ETF, Schwab-Fidelity 총격전으로 인해 막대한 손실 기록"
2016-03-02,0,1,,Steel tariffs look like a big win for U.S. steel stocks,철강 관세는 미국 철강주에 큰 승리로 보인다
2017-08-15,0,0,,Advance Auto Parts (AAP) Misses on Q2 Earnings,AAP(Advanced Auto Parts)가 2분기 실적을 놓쳤습니다.
2018-06-09,0,3,,ADT SHAREHOLDER ALERT: CLAIMSFILER Reminds Investors with Losses in Excess of ...,ADT 주주 경고: CLAIMSFILER는 투자자들에게 다음과 같은 손실이 있음을 상기시킵니다.
2016-01-05,0,3,,GE Close to Kissing Connecticut Goodbye,GE는 코네티컷과의 키스에 가까워졌다.
2016-03-22,0,2,,Stocks Close Mixed; Nike Slips After Hours On Sales Miss,"주식 마감 혼합; 나이키, 영업 시간 이후 미끄러짐"
2015-01-14,0,0,,"Gold sector's bad bets wiping out retained earnings, investor confidence",금 부문의 잘못된 베팅으로 인해 이익잉여금과 투자자 신뢰가 상실됨
2018-10-03,0,3,,"Cocoa Probes Below $2,000 Per Ton - Time To Buy NIB?","코코아 프로브가 톤당 2,000달러 미만 - NIB를 구매할 시점인가?"
2016-07-05,0,0,,Ocwen complex tumbles,오웬 콤플렉스 폭락
2016-01-06,0,0,,"Premarket Biotech Digest: Gilead's HBV Data, Eli Lilly's Guidance, MannKind Slumps","시판 전 생명공학 다이제스트: Gilead의 HBV 데이터, Eli Lilly의 지침, MannKind의 부진"
2020-05-08,0,0,,ProAssurance (PRA) Misses Q1 Earnings & Revenue Estimates,ProAssurance(PRA)가 1분기 수익 및 매출 추정치를 놓쳤습니다.
2015-02-23,0,0,,The Vetr community has downgraded $AFMD to 4-Stars,Vetr 커뮤니티는 $AFMD를 4성으로 다운그레이드했습니다.
2015-02-02,0,0,,Applied Industrial Technologies Slumps: AIT Tumbles 7.6% in Session - Tale of the Tape,응용 산업 기술 하락: AIT가 세션에서 7.6% 하락 - 테이프 이야기
2019-08-12,0,0,,Asian Shares Tumble on Recessionary Fears: ETFs in Focus,경기 침체 우려로 아시아 증시 급락: ETF에 주목
2019-10-29,0,2,,"AGCO EPS beats by $0.02, misses on revenue",AGCO EPS는 0.02달러 앞섰고 수익은 감소했습니다.
2019-07-06,0,0,,Stocks That Fell to '-Year Lows in the Week of July 5,7월 5일 주에 '연중 최저치'로 하락한 주식
2019-11-13,0,0,,Adecoagro EPS misses by $0.25,[번역 실패]
2018-05-10,0,0,,"Falling Earnings Estimates Signal Weakness Ahead for AAON, Inc. (AAON)","하락하는 수익으로 AAON, Inc.(AAON)에 대한 신호 약화 예상"
2020-04-25,0,3,,"AARON'S DEADLINE ALERT: Faruqi & Faruqi, LLP Encourages Investors Who Suffered Losses ...","AARON의 마감일 알림: Faruqi & Faruqi, LLP는 손실을 입은 투자자들을 격려합니다 ..."
2015-05-13,0,2,,"Commodities Today: Coal And Solar Companies Under Pressure, Big Buyback Announced","오늘날의 원자재: 압박을 받고 있는 석탄 및 태양광 기업, 대규모 환매 발표"
2016-05-26,0,1,,Acasti Pharma FQ4 net loss improves by 17%,Acasti Pharma FQ4 순손실 17% 개선
2017-08-11,0,2,,"EnerSys (ENS) Q1 Earnings Miss, Revenues Beat Estimates",EnerSys (ENS) 1분기 수익이 예상치를 상회하고 매출이 예상치를 상회했습니다.
2018-04-19,0,0,,Aceto slumps 51% premarket as business deteriorates,"Aceto, 사업 악화로 시판 전 51% 급락"
2019-08-05,0,0,,"Schneider (SNDR) Q2 Earnings Miss, '19 EPS View Bearish","Schneider (SNDR) 2분기 실적 부진, '19 EPS 약세 전망"
2018-10-23,0,0,,TI's embedded processor peers drop after revenue miss,[번역 실패]
2018-06-27,0,2,,Market Volatility Bulletin: Spot VIX Prints Below 15 Despite More Than 2% Intraday Move In S&P Futures,[번역 실패]
2016-05-11,0,1,,Smart Money Flows Into Pershing Gold,[번역 실패]
2017-03-14,0,1,,High-yield default rate to drop below 3% - Fitch,[번역 실패]
2018-02-06,0,0,,Utilities plunge as bearish sentiment seen persisting,약세 정서가 지속되면서 유틸리티 부문 급락
2015-03-23,0,0,,Amicus Therapeutics Slumps: FOLD Falls 6.8% in Session - Tale of the Tape,Amicus Therapeutics 부진: FOLD 세션에서 6.8% 하락 - Tale of the Tape
2019-11-08,0,0,,Mall stocks follow Gap lower,쇼핑몰 주식은 Gap을 따라 낮아졌습니다.
2019-05-14,0,0,,"Agilent down 8% after hours on FQ2 miss, revenue guidance cut","애질런트는 2분기 실적 부진으로 영업시간 이후 8% 하락, 매출 가이던스 삭감"
2019-04-22,0,0,,Bull Of The Day: Advanced Emissions Solutions (ADES),오늘의 황소: ADES(Advanced Emissions Solutions)
2015-12-04,0,0,,"Barclays downgrades ADI, doesn't expect Force Touch in 2016 iPads",Barclays는 ADI를 다운그레이드했지만 2016년 iPad에서는 Force Touch를 기대하지 않습니다.
2016-08-09,0,0,,Advanced Emissions Solutions reports Q2 results,"Advanced Emissions Solutions, 2분기 결과 보고"
2015-04-27,0,0,,"Akorn Downgraded, Stock Falls On 'Credibility Gap'","Akorn 강등, '신뢰도 격차'로 주가 하락"
2016-10-04,0,0,,Was Gold ETF's Tumble To Its Lowest Level Since Brexit Vote Foreshadowed?,Gold ETF는 브렉시트 투표가 예고된 이후 최저 수준으로 하락했나요?
2015-12-07,0,0,,El Nino Leads To La Nina And Low Grain Prices Could Become A Distant Memory,[번역 실패]
2018-02-21,0,0,,Cotton Has Been Trending Lower - An Opportunity,[번역 실패]
2018-12-14,0,0,,"Market Volatility Bulletin: Stocks Close Flat Thursday, Jolt Lower Into Friday","시장 변동성 공지: 주식은 목요일 보합 마감, 금요일까지 급락"
2020-03-05,0,0,,"ADT (ADT) Reports Q4 Loss, Tops Revenue Estimates",[번역 실패]
2016-01-25,0,0,,"Abengoa to move ahead with debt talks, asset sales",[번역 실패]
2019-10-15,0,0,,Ameren appoints Moehn as new CFO; Lyons becomes Ameren Missouri chief,Ameren은 Moehn을 새로운 CFO로 임명합니다. Lyons가 Ameren Missouri 추장이 됨
2016-08-17,0,0,,Analog Devices (ADI) Moves Lower Ahead of Earnings,아나로그디바이스(ADI)는 수익보다 하락세를 보이고 있습니다.
2018-09-04,0,0,,Analog Devices -1.4% after Evercore downgrade,Analog Devices - Evercore 다운그레이드 후 -1.4%
2013-03-10,0,0,,"Guru Stocks at 52-Week Lows: APPL, BIDU, ABX, GG, NEM","Guru 주식 52주 최저치: APPL, BIDU, ABX, GG, NEM"
2016-07-05,0,0,,Technically Speaking: The Bond Ratio Warning,[번역 실패]
2018-08-30,0,0,,Copper edges lower on U.S.-China trade fight worries,[번역 실패]
2014-11-18,0,0,,Zoetis 2015 Guidance Misses As Buyout Theories Abound,매수 이론이 풍부함에 따라 Zoetis 2015 지침이 누락되었습니다.
2018-06-07,0,0,,Semi equipment stocks drop on analyst warning about memory push-outs,메모리 푸시아웃에 대한 애널리스트의 경고로 반도체 장비 주가 하락
2018-07-11,0,0,,6 Low Price-Sales Stocks in Gurus' Portfolios,Gurus 포트폴리오의 6가지 저가 매도 주식
2019-08-01,0,0,,Abiomed sinks 15% premarket on lowered guidance,[번역 실패]
2016-11-09,0,0,,"Advanced Emissions Solutions, Inc. 2016 Q3 - Results - Earnings Call Slides","Advanced Emissions Solutions, Inc. 2016년 3분기 - 결과 - 실적 발표 슬라이드"
2015-10-13,0,0,,Looking At The Bond Markets: Growing Weaknesses?,채권 시장 살펴보기: 약점이 커지고 있나요?
2018-10-31,0,0,,"Applied Industrial Technologies beats by $0.12, misses on revenue",Applied Industrial Technologies는 0.12달러 앞섰고 수익은 감소했습니다.
2018-02-07,0,0,,"AGCO Corp (AGCO) Misses on Q4 Earnings, Issues 2018 View","AGCO Corp(AGCO), 2018년 4분기 실적 및 이슈 누락"
2019-05-09,0,0,,"Ameren beats by $0.10, misses on revenue",Ameren은 $0.10 차이로 수익이 감소했습니다.
2019-08-30,0,0,,Rick Rule: Silver Demand Increasing As Negative-Yielding Debt Continues To Grow,릭 규칙: 마이너스 수익률 부채가 계속 증가함에 따라 은 수요도 증가
2015-06-17,0,0,,Increasing Pressures For Alliance Holdings,Alliance Holdings에 대한 압력 증가
2019-02-28,0,0,,Ashford Hospitality Q4 adjusted FFO declines 28% Y/Y,Ashford Hospitality Q4 조정 FFO는 Y/Y 28% 감소
2016-12-21,0,0,,"AAR EPS in-line, misses on revenue","AAR EPS 인라인, 수익 손실"
2019-03-21,0,0,,"Alcoa, New York reach deal on low-cost power for Massena smelter","뉴욕주 Alcoa, Massena 제련소에 저가 전력 공급 계약 체결"
2016-03-24,0,0,,Barrick Gold cuts chairman's pay by 76% after investor criticism,"배릭 골드, 투자자 비난에 회장 급여 76% 삭감"
2019-06-02,0,0,,Powell Channels Bernanke: 'Subprime Debt Is Contained',파월 채널 버냉키: '서브프라임 부채는 억제됐다'
2014-10-15,0,0,,Stocks Pare Losses; Netflix Plunges After Hours,주식 손실; Netflix는 영업 시간 이후 급락합니다.
