Date,Label,Headline_and_Subtitle,Market_Return
2015-06-04,0,Steel stocks drop despite filing of anti-dumping case,-0.007865866696517
2015-07-29,0,"Aflac Misses on Q2 Earnings and Revenues, Guides 2015 - Analyst Blog",0.0044250521601787
2015-02-24,0,"Tenet Healthcare Q4 Earnings Miss Estimates, Improve Y/Y - Analyst Blog",0.0014412306533018
2016-12-01,0,"Goldman bearish on Akorn, starts coverage with Sell rating; shares off 5%",-0.0136316063519631
2016-11-01,0,"Adeptus Health misses by $0.50, misses on revenue",-0.0068527844029735
2016-02-25,0,Why IBD's Your Weekly Review Column Flags Big Stock Market Winners,0.0087153273608782
2015-02-04,0,"AGCO Tops Q4 Earnings, Lags Y/Y on Production Cuts - Analyst Blog",-0.0023351619410535
2019-01-10,0,Vertical downgrades ABB to Sell on near-term worries,0.0041669415571199
2013-01-31,0,"Advanced Emissions Solutions Inc (ADES) COO C Jean Bustard sells 1,000 Shares",-5.733863873724765e-05
2018-05-14,0,"ADMA Biologics misses by $0.08, misses on revenue",0.0011400889302344
2015-08-13,0,World's Largest Gold Miner Suffers Credit Downgrade To Near Junk Status,-0.0021469549006859
2012-08-21,0,Fertilizer Stocks Drop Despite Better Crop Conditions,-0.0029094084231973
2020-04-28,0,Google Parent Alphabet Misses Profit Expectations But Stock Soars On Rebound Talk,-0.0140237619137321
2018-03-16,0,"Agenus (AGEN) Q4 Loss Wider Than Expected, Revenues Miss",3.341468591111507e-05
2019-11-04,0,Aaron's (AAN) Lags Q3 Earnings and Revenue Estimates,0.0055804400586234
2015-04-24,0,Akorn to restate financial statements; shares drop after hours,0.0071241280985234
2018-05-03,0,"AIG Q1 Earnings Miss Estimates & Fall Y/Y, Shares Decline",-0.001795547068026
2019-11-27,0,Analog Devices (ADI) Q4 Earnings & Revenues Miss Estimates,0.0066200815766057
2018-08-10,0,"Adamis Pharmaceuticals (ADMP) Reports Q2 Loss, Misses Revenue Estimates",-0.0066740232633033
2018-08-01,0,AGNC Investment lower 2.9% on pricing of common stock,0.0046273424871177
2014-04-29,0,"PartnerRe's Earnings Outshine Ests, Lag Y/Y - Analyst Blog",0.007152007023657
2015-02-18,0,"UBS downgrades LLTC, likes TXN and ADI better",0.0014471224737024
2014-01-21,0,Will Cubist Pharma (CBST) Miss Earnings? - Analyst Blog,0.0067133174294526
2019-07-16,0,Seeking Income In Emerging Market Debt,-0.0042855181533201
2015-08-26,0,Regency (REG) Downgraded to Hold on Market Concerns,0.0423943678453342
2017-01-05,0,"Aehr Test Systems misses by $0.01, revenue in-line",0.0019974331579788
2019-03-21,0,"A Fully Inverted Yield Curve, And Consequently A Recession, Are Coming To Your Doorstep Soon",0.014230840983513
2013-01-17,0,"Advanced Emissions Solutions Inc (ADES) CTO Sharon Sjostrom sells 3,000 Shares",0.0059213228077901
2019-01-10,0,"Advaxis misses by $0.19, misses on revenue",0.0041669415571199
2017-10-30,0,"Aaron's (AAN) Stock Falls on Q3 Earnings Miss, Revenues Beat",-0.0003431899027847
2015-10-21,0,"ABB misses by $0.02, misses on revenue",-0.0083692577209381
2011-10-05,0,AIR Downgraded to Neutral - Analyst Blog,0.0231576333460337
2017-09-06,0,South Africa Exits Recession: ETFs to be Impacted,0.0027825331482702
2020-04-28,0,Earnings Preview: Applied Genetic Technologies (AGTC) Q3 Earnings Expected to Decline,-0.0140237619137321
2019-11-26,0,"ADI -2.6% after Q4 misses, downside revenue outlook",0.0017885283047895
2019-11-05,0,Aaron's down 8% premarket on earnings miss and revised FY2019 guidance,0.0001754366258639
2012-08-10,0,"The Best Stocks for a Recession Generation? Apartment REITs, Rental & Rent-to-Own Stocks Like RCII, AAN & ZIP",0.0007355017235439
2018-09-13,0,What Credit/Yield-Based Models Suggest About The Odds Of A Recession Coming Soon?,0.0074777798246719
2016-06-29,0,Stock ETFs Extend Rally As Oil Nears $50 And Brexit Fears Ease,0.0186236789659639
2013-02-26,0,AGCO Downgraded to Neutral - Analyst Blog,0.0043000087745688
2017-08-03,0,"Ball Corp (BLL) Misses Q2 Earnings Estimates, Affirms View",-0.0035064098977899
2018-08-03,0,Ameren Corporation (AEE) CEO Warner Baxter on Q2 2018 Results - Earnings Call Transcript,0.0011944373400374
2015-08-18,0,"Disney, Fox Downgraded: Is It The Netflix Effect?",-0.0063534961634292
2018-04-18,0,Adtran down on Q1 earnings miss,0.0019420330072514
2019-07-25,0,"Altra Holdings EPS misses by $0.08, misses on revenue",-0.0099693517920447
2014-02-19,0,"Meadowbrook Insurance Posts Q4 Loss, Revs Down - Analyst Blog",-0.0081515059504702
2019-11-13,0,"Advanced Emissions Solutions, Inc. (ADES) CEO Heath Sampson on Q3 2019 Results - Earnings Call Transcript",-0.000470208829799
2019-05-13,0,Dow Jones Plunges on Monday,-0.034093971139442
2015-06-16,0,Stocks Rise Ahead Of Fed; Adobe Falls On Q3 Outlook,0.0050854356489553
2019-11-05,0,"Acadia Healthcare EPS misses by $0.03, misses on revenue",0.0001754366258639
2014-12-12,0,Celladon Corporation (CLDN) Falls: Stock Goes Down 8.6% - Tale of the Tape,-0.0115884032792135
2019-06-13,0,PennyMac Offers Poorly Valued And Risky Preferred Shares,0.0056988659600736
2019-06-11,0,AG Mortgage Investment Trust: Risks Are Growing,-7.670773640899853e-05
2017-03-01,0,American Eagle Outfitters (AEO) Slumps with Earnings Set for Release,0.0134907997576967
2013-10-30,0,Will Newmont (NEM) Miss Earnings Estimates? - Analyst Blog,-0.0054954710931055
2019-09-19,0,Analysts Estimate Applied Genetic Technologies (AGTC) to Report a Decline in Earnings: What to Look Out for,0.0006713322957527
2017-09-27,0,ADVISORY BOARD SHAREHOLDER ALERT: CLAIMSFILER REMINDS INVESTORS WITH LOSSES IN EXCESS OF ...,0.0114573314125026
2018-05-17,0,"Strong Product Portfolio Aids Agilent (A), Risks Persist",-0.0021396253546958
2019-08-01,0,Earnings Preview: Air Lease (AL) Q2 Earnings Expected to Decline,-0.0078650155346091
2015-04-28,0,"Alliance Holdings misses by $0.04, misses on revenue",-0.0009545137344992
2018-05-18,0,"Deere slightly lower as analysts digest earnings miss, 'tepid' guidance",-0.0038104279834666
2014-04-25,0,Cincinnati Financial's Q1 Earnings Miss Ests on Cat Loss - Analyst Blog,-0.017544316014972
2019-02-28,0,"Acadia Healthcare misses by $0.01, misses on revenue",-0.0029095177782103
2014-02-03,0,"Potash Falls on Lower Profit, Earnings Miss - Analyst Blog",-0.0260533750811743
2013-11-08,0,Microsemi Misses Q4 Earnings by a Penny - Analyst Blog,0.0160473439114754
2018-12-20,0,Acasti Pharma hits enrollment targets in late-stage studies of CaPre; shares ahead 3% premarket,-0.0163361003067341
2015-10-19,0,AES downgraded to Hold from Buy at Argus,0.0038431481560492
2018-09-07,0,"Donaldson's (DCI) Q4 Earnings Meet, Revenues Miss Estimates",-0.0025483566215209
2014-03-07,0,Will American Eagle (AEO) Miss Earnings? - Analyst Blog,-0.0036556050479055
2015-04-24,0,Will Parker-Hannifin (PH) Miss Earnings This Season? - Analyst Blog,0.0071241280985234
2015-12-03,0,High-Yield Municipal Bonds: Understanding Where Credit Risk Lives,-0.0167258923282713
2019-05-23,0,"Autodesk misses by $0.02, misses on revenue",-0.0158124875580519
2015-07-29,0,"American Tower Q2 Earnings, Revenues Lag; Outlook Revised - Analyst Blog",0.0044250521601787
2017-11-01,0,Envision Healthcare's (EVHC) Q3 Earnings Miss Expectations,-0.0016558685024852
2015-07-27,0,"Goldman cuts machinery group; downgrades MTW, TEX, NAV",-0.0095998527661144
2016-06-10,0,Stocks Open Sharply Lower; Euro Banks Under Pressure,-0.0129209963630648
2016-12-22,0,"Wal-Mart, Target, Macy's Drop Amid Tariff Talk: Investing Action Plan",-0.004388295771831
2019-07-29,0,"Kirby (KEX) Misses on Q2 Earnings, Cuts 2019 Earnings View",-0.0044272452897873
2015-08-06,0,"Agios Pharmaceuticals misses by $0.39, misses on revenue",-0.0162453260061157
2015-05-20,0,Will Deere & Company (DE) Miss Earnings Estimates in Q2? - Analyst Blog,0.0003373647278677
2017-03-08,0,The Risks Of Focusing Too Much On Dividend Yields,0.0006204443312118
2020-04-16,0,Earnings Preview: Aaron's (AAN) Q1 Earnings Expected to Decline,0.0165825907754342
2015-08-10,0,AES Corp. (AES) Lags Q2 Earnings and Revenue Estimates - Analyst Blog,0.0115513637591404
2016-06-10,0,SPY ETF Suffers Mild Weekly Loss As Stocks Retreat From 2016 Highs,-0.0129209963630648
2020-05-08,0,ACADIA's (ACAD) Q1 Earnings & Revenues Fall Shy of Estimates,0.0157756701016575
2014-08-18,0,"Target-Date Funds, ETFs: Major Investing Risks Now",0.0097156911988909
2014-05-07,0,Trex Falls on Earnings Miss - Analyst Blog,-0.0032077573440484
2015-08-07,0,hhgregg's Q1 Loss Narrower than Expected; Revenues Lag - Analyst Blog,-0.0025511827477896
2019-08-20,0,Terex Plunges 36% in a Year: What's Pulling the Stock Down?,-0.0067788688726585
2016-11-02,0,Ugly Q3 and lower guidance sinks Adeptus; shares down 63%,-0.0093159033484383
2016-03-31,0,Lindsay CEO's Bearish Remarks Move Farming Stocks Downward,0.0001150185323233
2014-07-25,0,"DTE Energy Misses Earnings Estimates, Reiterates Guidance - Analyst Blog",-0.0050423190343885
2015-09-14,0,"Chipmaker Marvell Downgraded Amid Probe, Exec Worries",-0.0034381811863567
2018-08-06,0,STAG Is A High-Risk Investment,0.0061021954127622
2013-05-09,0,AES Corp Misses Earnings - Analyst Blog,-0.0012012227666691
2019-01-30,0,Is FS KKR Capital's 12.2% Yield At Risk?,0.0220238547644153
2019-11-08,0,Mall stocks follow Gap lower,0.0048360833016478
2012-05-22,0,Can American Eagle's Earnings Soar Where Others Fell?,-0.00285538577205
2013-02-27,0,"New BDC Fund Offers High Yields, Potentially High Risks",0.0104197301421651
2017-11-21,0,High-Yield Guide To Returns With Less Risk,0.0105688536167936
2013-01-24,0,"Advanced Emissions Solutions Inc (ades) CTO Sharon Sjostrom sells 2,545 Shares",-0.0073850591975247
2015-07-06,0,"Stocks Pare Losses, Oil Slumps; Intuitive Surgical, Aetna Slide",-0.0034476533557036
2017-01-30,0,Resource Sector Digest: A New Flavor Of Country Risk,-0.0083150777817178
2015-07-29,0,Will Tyco (TYC) Miss Q3 Earnings on Currency Woes? - Analyst Blog,0.0044250521601787
2017-02-02,0,Aflac Misses Earnings Estimates - But Don't Lose Sight Of The Big Picture,-0.0011430280352092
2020-04-16,0,Dow Jones Sharply Lower After New York To Remain Shut Down To Fight Coronavirus,0.0165825907754342
2014-02-05,0,ADT - Does a Lower Stock Price Mean It's Safe to Invest?,-0.0049534593915887
2019-01-23,0,AGCO downgraded at Barclays as U.S. small farmers 'more vulnerable',0.0007706380236001
2015-04-27,0,Why AK Steel Remains A Risky Bet Ahead Of First-Quarter Earnings,-0.0062508989718638
2015-07-27,0,Will Lower AUM Drag Franklin's (BEN) Q3 Earnings? - Analyst Blog,-0.0095998527661144
2013-09-30,0,Achillion Pharma Downgraded After Hepatitis C Setback,-0.0026735069605374
2020-03-11,0,European Commission Grants AbbVie Marketing Authorization Shortening MAVIRET® ...,-0.0470024502277016
2012-02-22,0,Earnings Haul Stock Futures Lower; Dell Crumbles,-0.0052229203062296
2017-08-21,0,Xcel Energy (XEL) Hits 52-Week High on Strong Q2 Earnings,-0.0005469132234946
2015-03-09,0,"Amedisys Q4 Earnings in Line, Revenues Miss the Mark - Analyst Blog",0.0030583909591415
2017-02-27,0,"AES Corp. (AES) Misses on Q4 Earnings, Gives '17 Outlook",0.0028381460664537
2018-02-16,0,Ameren Corp's (AEE) CEO Warner Baxter on Q4 2017 Results - Earnings Call Transcript,-0.0023372320172121
2018-04-20,0,Can Catastrophe Loss Mar Chubb's (CB) Q1 Earnings Prospects?,-0.0127009412794387
2019-10-24,0,Alliance Data Systems (ADS) Lags Q3 Earnings and Revenue Estimates,0.0081294916872778
2020-03-17,0,Agency Bond ETF (AGZ) Hits New 52-Week High,0.0623049234120192
2014-10-28,0,Will Macroeconomic Challenges Hit Westport's Q3 Earnings? - Analyst Blog,0.0174679186279584
2019-07-18,0,Earnings Preview: Ares Commercial Real Estate (ACRE) Q2 Earnings Expected to Decline,0.0026914732233669
2019-10-31,0,"AAON EPS misses by $0.02, misses on revenue",-0.0013993430296747
2015-06-26,0,Falling Earnings Estimates Signal Weakness Ahead for 58.com (WUBA) - Tale of the Tape,-0.0061969872294173
2016-07-15,0,Generating 6% Yield In A 0% World - Building Exchange Traded Debt Ladders,-0.0008879939436
2014-07-28,0,"Aaron's (AAN) Slumps on Weak Q2 Earnings, Cost Savings Ahead - Analyst Blog",-0.0010450251895733
2015-06-10,0,Francesca's Shares Plunge On Light Guidance,0.0125292085256465
2020-04-30,0,Analysts Estimate Applied Optoelectronics (AAOI) to Report a Decline in Earnings: What to Look Out for,-0.0028223191063138
2013-02-22,0,"Advisory Board Company (ABCO) CEO Robert W Musslewhite sells 10,000 Shares",0.009685510162761
2014-10-29,0,Will Johnson Controls (JCI) Miss Q4 Earnings Estimates? - Analyst Blog,-0.0032995402274749
2019-03-19,0,Aerocentury misses on revenue,0.0012275895287467
2017-12-04,0,Stocks That Fell to '-Year Lows in the Week of Dec. –,-0.0105467366198075
2018-10-22,0,Arthur J. Gallagher (AJG) Q3 Earnings: What's in Store?,0.0026312282567735
2014-04-14,0,Arthur J Gallagher Prices 19M Shares - Analyst Blog,0.0057403777379014
2015-05-07,0,Will Intercept Pharmaceuticals (ICPT) Miss on Q1 Earnings? - Analyst Blog,0.0052645928612624
2013-09-25,0,Assurant Downgraded to Neutral - Analyst Blog,-0.0018974065796457
2017-12-12,0,Egypt Inflation Drops: ETFs in Focus,-0.001856015313458
2016-06-27,0,"AGCO, PACCAR downgraded at J.P. Morgan, partly on European weakness",-0.0241165084672249
2018-04-25,0,"AGNC Investment EPS in-line, misses on net interest income",-0.0005151538357498
2018-10-29,0,3 Recession-Resistant Sectors To Protect Your Portfolio From The Next Stock Market Crash,-0.0163131710264151
2014-12-30,0,Manitowoc Downgraded to Sell on Dismal Crane Outlook - Analyst Blog,-0.0061308020923653
2019-08-28,0,Stock Market Mixed Amid Recession Fears; Two Software Stocks Sell Off On Earnings,0.0038239271687106
2015-12-08,0,"Premarket Biotech Digest: Arrowhead's ARC-520 Data, Bluebird Tumbles, Gilead Looking For Acquisitions",-0.000699717194045
2018-04-18,0,ADTRAN (ADTN) Q1 Loss Wider Than Expected on Revenue Decline,0.0019420330072514
2020-04-23,0,"Landstar's (LSTR) Earnings Miss Estimates in Q1, Down Y/Y",-7.41441608484994e-05
2020-04-22,0,"HAGENS BERMAN, NATIONAL TRIAL ATTORNEYS, Encourages Aaron's (AAN) Investors with Losses to ...",0.0280942683300975
2019-06-11,0,U.S. Imports From China Plunge As Other Emerging Markets Fill The Gap,-7.670773640899853e-05
2016-12-05,0,Agios Pharma's PK deficiency candidate AG-519 shows diminishing efficacy in mid-stage study; shares slump 13%,0.0101300953001564
2015-10-07,0,"Premarket Biotech Digest: Anavex Uplisting, Discount On PCSK9 Inhibitors, Exact Sciences Plunges",0.0090115408887587
2016-12-22,0,Lindsay (LNN) Misses Earnings & Revenue Estimates in Q1,-0.004388295771831
2019-09-05,0,American Eagle (AEO) Slumps Despite Q2 Earnings & Sales Beat,0.0175444782130975
2016-08-10,0,"Affimed misses by €0.01, misses on revenue",-0.0039996138961143
2015-01-13,0,"Big 5 Falls on Dismal Sales Results, Cuts Earnings Forecast - Analyst Blog",-0.0006881373042226
2011-07-20,0,Pool Downgraded to Neutral - Analyst Blog,-0.004348116757559
2014-01-29,0,Aerospace Stocks Fall to Earth With Boeing,-0.0113544372664466
2013-01-17,0,"Advanced Emissions Solutions Inc (ADES) COO C Jean Bustard sells 2,500 Shares",0.0059213228077901
2015-07-23,0,"Crown Castle Lags Q2 Earnings, Revenues; '15 View Raised - Analyst Blog",-0.0049035172069674
2019-09-13,0,"100 Over 10% Yield, Under $10 Priced Dividend Dogs For Fall",-0.0021672867455269
2020-04-29,0,Arthur J. Gallagher & Co. Announces Regular Second Quarter Dividend,0.0356632324051009
2012-02-10,0,"3 Stocks Hitting 52-Week Highs: Akorn, Sunoco Logistics, Cincinnati Financial",-0.007976857920986
2010-06-09,0,Stocks That Rise When Broader Market Falls,-0.0053994896888924
2017-01-30,0,The Vetr community has downgraded $ADI to 2.5-Stars,-0.0083150777817178
2015-02-05,0,"Acxiom (ACXM) Misses Q3 Earnings, Revenues Down Y/Y - Analyst Blog",0.0102613904508601
2014-04-21,0,Will Xerox (XRX) Miss this Earnings Season? - Analyst Blog,0.0063556727917617
2015-02-11,0,"KKR Falls on Q4 Earnings Miss, Investment Income Down - Analyst Blog",0.0028281238096101
2015-04-20,0,Will High Expenses Hurt ACE Limited (ACE) Earnings in Q1? - Analyst Blog,0.0127316417940888
2019-01-10,0,"Aehr Test Systems EPS in-line, misses on revenue",0.0041669415571199
2016-05-11,0,Ameren's (AEE) CEO Warner Baxter on Q1 2016 Results - Earnings Call Transcript,-0.010226854433938
2012-08-06,0,"Energy Earnings: Tesco, AES Miss Revenue Targets",0.0074160215943415
2014-11-18,0,Stocks Hit New Milestones; BitAuto Rebounds,0.0067308801982979
2018-09-25,0,Are M&As Helping U.S. Markets Amid Trade War Fears?,0.001779027910268
2016-04-19,0,Apple Suppliers Downgraded On 'Modestly Lower' iPhone Demand,-0.0039697302286515
2015-12-03,0,"Express, Retail Stocks Reverse Amid Consumer Fears",-0.0167258923282713
2015-04-29,0,"Indexes Lower, Near Session Lows As Fed Announcement Nears",-0.0062862800019317
2018-08-02,0,"AllianceBernstein: As AUM Falls, A Key Market Is Neglected",0.0123778788472004
2019-02-20,0,"Verisk Analytics (VRSK) Misses on Q4 Earnings, Beats Revenues",0.0003071824941196
2019-01-30,0,AGNC Investment misses by $0.01,0.0220238547644153
2019-05-15,0,Analysts Estimate Analog Devices (ADI) to Report a Decline in Earnings: What to Look Out for,0.0113336063932381
2012-06-25,0,"Quest Software, Pharmacyclics, Other Stocks Hit 52-Week Highs Monday",-0.0194508443743378
2015-06-09,0,Managing Credit And Interest Rate Risk In The Current Market Environment,-0.0015452683304197
2012-10-26,0,Up/Downgrades,0.0006127797652355
2019-08-02,0,"Ameren (AEE) Q2 Earnings Miss Estimates, Revenues Down Y/Y",-0.013197966670708
2017-02-23,0,The Hidden Risk In The Muni Bond Market,-0.0042862486950711
2015-08-10,0,"Beacon Roofing (BECN) Misses on Q3 Earnings, Shares Fall - Analyst Blog",0.0115513637591404
2014-10-16,0,Federal Agricultural Mortgage (AGM) Falls: Stock Goes Down 5% - Tale of the Tape,0.0004911400762772
2016-11-03,0,"ACI Worldwide misses by $0.17, misses on revenue",-0.0092369058875747
2013-04-05,0,SunCoke Sees Lower 1Q Coke Yield - Analyst Blog,-0.0065488384966052
2018-11-09,0,"Adamis Pharmaceuticals (ADMP) Reports Q3 Loss, Lags Revenue Estimates",-0.0164628811504092
2018-06-19,0,A.H. Belo: The Yield Is Not Worth The Risk,-0.0027675047083631
2018-08-10,0,"ADMA Biologics misses by $0.04, misses on revenue",-0.0066740232633033
2019-09-25,0,Federal Agricultural Mortgage (AGM) Presents At Sidoti & Company Fall 2019 Investor Conference - Slideshow,0.0104770925384067
2016-12-21,0,"AAR EPS in-line, misses on revenue",-0.0022811638636932
2015-05-07,0,"American Capital Q1 Earnings Miss, Spin Off Plans Revised - Analyst Blog",0.0052645928612624
2015-06-12,0,"Agios/Celgene Leukemia Drug Scores, But Stocks Fall",-0.0061799523104089
2014-03-21,0,AAR Corp Lags Fiscal Q3 Earnings Ests - Analyst Blog,-0.0098395800271899
2014-10-15,0,Barrick Gold Reports Lossws In The Second Quarter Of This Fiscal,-0.0028033170833581
2014-01-27,0,FE Downgraded to Underperform - Analyst Blog,-0.0107940843755012
2019-06-06,0,Global X adds 20 commission-free ETFs to Ameritrade ETF Market,0.0052894106145167
2013-09-16,0,Fujifilm Downgraded to Neutral - Analyst Blog,-0.0011632521973398
2015-04-29,0,Aflac Lags Q1 Earnings on Low Revenues; Affirms 2015 View - Analyst Blog,-0.0062862800019317
2019-07-25,0,Plethora Of Warning Signs Of The Looming Global Economic Meltdown,-0.0099693517920447
2015-02-23,0,The Vetr community has downgraded $AFMD to 4-Stars,0.001008884190834
2019-02-06,0,Earnings Preview: Acco Brands (ACCO) Q4 Earnings Expected to Decline,-0.0036206434793851
2017-02-23,0,"Ashford Hospitality Trust misses by $0.06, misses on revenue",-0.0042862486950711
2016-01-14,0,Analog Devices issues FQ1 warning; shares halted,0.0196506321734235
2018-10-16,0,"Brunch, Craft Beer & Investing: Embracing Volatility & Managing Risk",0.0289002162942737
2014-07-18,0,Will Travelers (TRV) Miss Earnings Estimates This Season? - Analyst Blog,0.0157443545717679
2016-09-30,0,BDCL 17.1% Yield Is Still Attractive But Risks And Concerns Remain,0.008132260127424
2015-12-04,0,"Barclays downgrades ADI, doesn't expect Force Touch in 2016 iPads",0.0207919831429346
2015-04-30,0,Two more post-earnings mREIT downgrades,-0.0163666609482607
2015-05-22,0,"Deere Q2 Earnings Beat, Lags Y/Y on Soft Farm Economy - Analyst Blog",-0.0002809339552949
2015-04-28,0,Jacobs Misses Q2 Earnings and Revenues; Gives Guidance - Analyst Blog,-0.0009545137344992
2013-04-01,0,Aegion Lowers 1Q13 Earnings Guidance - Analyst Blog,-0.0086763348003349
2018-04-23,0,Global Supply/Demand Deficit And Falling Gold:Silver Ratio To Boost Silver Price And Selected Silver Stocks,-0.0024530459764539
2019-02-28,0,"Acme United misses by $0.01, misses on revenue",-0.0029095177782103
2017-03-23,0,The Vetr community has downgraded $AKRX to 3.5-Stars,-0.0006785364982602
2016-10-06,0,Gold's Recent Drop Stuns Investors: Is It Time For Gold Bulls To Panic?,-0.0017249599966345
2016-05-05,0,SPY ETF Faces A Key Test As Stocks And Oil Reverse Lower,-0.0018093406864211
2017-05-08,0,Stocks Open Flat; Europe Mixed After France Election; Disney Falls,0.0003115006487728
2016-12-20,0,Goldcorp Downgraded by BMO Capital,0.004855756597327
2013-11-07,0,Sun Life Q3 Earnings Fall YoY - Analyst Blog,-0.0189778288059427
2013-06-26,0,Whitestone Set to Rule Phoenix Market - Analyst Blog,0.0084620698511634
2014-10-30,0,Alliance Fiber Optic Lags Q3 Earnings on Weak Demand - Analyst Blog,0.0037171469287331
2018-08-07,0,Barrick Gold Is Downgraded Again,0.003051012246356
2019-12-11,0,"Lifshitz & Miller LLP Announces Investigation of AK Steel Holding Corporation, Carbonite, ...",0.0043952329873575
2018-11-02,0,"AcelRx Pharmaceuticals misses by $0.01, misses on revenue",-0.0103671242378056
2015-06-18,0,"Oracle Disappoints, Q4 Earnings & Revenues Miss Estimates - Analyst Blog",0.0134396696614651
2018-09-04,0,Analog Devices -1.4% after Evercore downgrade,-0.0022553731746066
2015-05-01,0,Is it a Miss for TrovaGene (TROV) This Earnings Season? - Analyst Blog,0.0129457151699581
2014-07-22,0,"Travelers Cat Loss Perpetrates Q2 Earnings Miss, Revenue Up - Analyst Blog",0.0070784059566182
2017-10-31,0,Eaton (ETN) Lags Q3 Earnings Estimates on Natural Disasters,0.004285734069902
2015-09-14,0,"Stocks Fall In Quiet Trading; Chip Names, Apple, Buffer Nasdaq 100",-0.0034381811863567
2016-09-16,0,Political Risk In The Municipal Bond Market,-0.0009753180177586
2014-08-05,0,"Vornado Q2 FFO Hurt by Toys 'R' Us Losses, Revenues Beat - Analyst Blog",-0.0070828173153058
2017-03-16,0,Trump Trade Hits Wall; Snap Hangover IPOs: Investing Action Plan,0.0001203313465143
2019-10-16,0,Alcoa reports Q3 loss but investors like portfolio review to drive lower costs,-0.0030102660757148
2016-10-26,0,Energy ETFs Bounce From Early Loss; Real Estate Trails S&P Sectors,-0.0062705612720709
2020-04-23,0,"Old Dominion's (ODFL) Q1 Earnings In Line, Revenues Lag",-7.41441608484994e-05
2013-07-16,0,Genworth Shares Hit 52-Week High - Analyst Blog,-0.0024920346996696
2013-05-14,0,HMA Downgraded to Underperform - Analyst Blog,0.0069268748858737
2017-07-14,0,Ericsson (ERIC) Q2 Earnings: Another Earnings Miss in Store?,0.0060611423159111
2019-04-22,0,"Agree Realty FFO in-line, misses on revenue",0.0021517669049018
2018-05-10,0,"Mercadolibre (MELI) Incurs Loss in Q1, Revenues Miss Mark",0.0088638766972304
